license_number,provider_name,first_name,last_name,license_type,profession_code,specialty,status,issue_date,expiration_date,last_renewal_date,address_line1,address_city,address_state,address_zip,phone,disciplinary_actions,board_certified,medical_school,verification_date,middle_name,suffix,secondary_specialty,renewal_date,county,email,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated,npi,entity_type_code,replacement_npi,employer_identification_number,provider_organization_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential_text,provider_other_organization_name,provider_other_organization_name_type_code,provider_other_last_name,provider_other_first_name,provider_other_middle_name,provider_other_name_prefix,provider_other_name_suffix,provider_other_credential_text,provider_other_last_name_type_code,provider_business_mailing_address_line1,provider_business_mailing_address_line2,provider_business_mailing_address_city,provider_business_mailing_address_state,provider_business_mailing_address_zip,provider_business_mailing_address_country_code,provider_business_mailing_address_phone,provider_business_mailing_address_fax,provider_business_practice_location_address_line1,provider_business_practice_location_address_line2,provider_business_practice_location_address_city,provider_business_practice_location_address_state,provider_business_practice_location_address_zip,provider_business_practice_location_address_country_code,provider_business_practice_location_address_phone,provider_business_practice_location_address_fax,provider_enumeration_date,last_update_date,npi_deactivation_reason_code,npi_deactivation_date,npi_reactivation_date,provider_gender_code,authorized_official_last_name,authorized_official_first_name,authorized_official_middle_name,authorized_official_title,authorized_official_phone,healthcare_provider_taxonomy_code_1,provider_license_number_1,provider_license_number_state_code_1,healthcare_provider_primary_taxonomy_switch_1,healthcare_provider_taxonomy_code_2,provider_license_number_2,provider_license_number_state_code_2,healthcare_provider_primary_taxonomy_switch_2,other_provider_identifier_1,other_provider_identifier_type_code_1,other_provider_identifier_state_1,other_provider_identifier_issuer_1,other_provider_identifier_2,other_provider_identifier_type_code_2,other_provider_identifier_state_2,other_provider_identifier_issuer_2,is_sole_proprietor,is_organization_subpart,parent_organization_lbn,parent_organization_tin,npi_certification_date
060NY176066,"Priya Lee, DO",Priya,Lee,Physician,60.0,Pulmonology,Expired,2017-11-06,2023-01-20,2022-08-04,2145 Columbus Ave,Buffalo,NY,11203,(929) 270-5002,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,9911838427.0,1.0,,,,Lee,Priya,,,,DO,,,,,,,,,,2145 Columbus Ave,,Buffalo,NY,11203,US,(929) 270-5002,(424) 212-1425,2145 Columbus Ave,,Buffalo,NY,11203,US,(929) 270-5002,(424) 212-1425,04/03/2020,10/28/2024,,,,M,,,,,,207RP1001X,060NY176066,NY,Y,207RN0300X,,,N,"{""identifier"": ""060NY176066"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BM5083490"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,Y,N,,,04/03/2020
060NY176066,"Priya Lee, DO",Priya,Lee,Physician,60.0,Pulmonology,Expired,2017-11-06,2023-01-20,2022-08-04,2145 Columbus Ave,Buffalo,NY,11203,(929) 270-5002,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,3469967336.0,1.0,,,,Lee,Priya D,L,,,DO,,,,,,,,,,2145 Columbus Ave,,Buffalo,NY,11203,US,(929) 270-5002,,2145 Columbus Ave,,Buffalo,NY,11203,US,(929) 270-5002,,02/01/2023,09/15/2024,,,,F,,,,,,207R00000X,060NY176066,NY,Y,,,,,"{""identifier"": ""060NY176066"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,N,N,,,02/01/2023
060NY255287,"William Lewis, DO PhD",William,Lewis,Physician,60.0,Dermatology,Expired,2021-07-24,2025-05-30,2023-10-12,1833 Fifth Ave,Queens,NY,14201,(323) 616-3532,[],True,UCLA David Geffen School of Medicine,2025-09-02,,,,,,,,,,,,,,,,450533156.0,1.0,,,,Lewis,William,,,,DO PhD,,,,,,,,,,1833 Fifth Ave,Suite 478,Queens,NY,14201,US,(323) 616-3532,,1833 Fifth Ave,Suite 478,Queens,NY,14201,US,(323) 616-3532,,05/02/2024,12/23/2024,,,,F,,,,,,207N00000X,060NY255287,NY,Y,,,,,"{""identifier"": ""060NY255287"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BA8951745"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,N,N,,,05/02/2024
060NY255287,"William Lewis, DO PhD",William,Lewis,Physician,60.0,Dermatology,Expired,2021-07-24,2025-05-30,2023-10-12,1833 Fifth Ave,Queens,NY,14201,(323) 616-3532,[],True,UCLA David Geffen School of Medicine,2025-09-02,,,,,,,,,,,,,,,,4376855079.0,1.0,,,,Lewis,William Q,,,,DO PhD,,,,,,,,,,1833 Fifth Ave,Suite 478,Queens,NY,14201,US,3236163532,(718) 520-1680,1833 Fifth Ave,Suite 478,Queens,NY,14201,US,3236163532,(718) 520-1680,07/23/2017,01/24/2025,,,,F,,,,,,207N00000X,060NY255287,NY,Y,,,,,"{""identifier"": ""060NY255287"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BA8687344"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,N,,,07/23/2017
060NY786508,"Jennifer Lopez, MD PhD",Jennifer,Lopez,Physician,60.0,Pulmonology,Expired,2019-05-13,2024-10-21,2023-06-07,7 Lexington Ave,Buffalo,NY,10004,(626) 848-6491,"[{""action_type"": ""Fine"", ""action_date"": ""2024-08-20"", ""description"": ""Disciplinary action related to professional conduct""}]",True,University of Pennsylvania Perelman School of Medicine,2025-09-02,,,,,,,,,,,,,,,,7738721480.0,1.0,,,,Lopez,Jennifer,,,,MD PhD,,,,,,,,,,7 Lexington Ave,,Buffalo,NY,10004,US,(626) 848-6491,(929) 908-6883,7 Lexington Ave,,Buffalo,NY,10004,US,(626) 848-6491,(929) 908-6883,04/14/2018,01/07/2025,,,,M,,,,,,207RP1001X,060NY786508,NY,Y,,,,,"{""identifier"": ""060NY786508"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BA3247082"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,N,N,,,04/14/2018
060NY786508,"Jennifer Lopez, MD PhD",Jennifer,Lopez,Physician,60.0,Pulmonology,Expired,2019-05-13,2024-10-21,2023-06-07,7 Lexington Ave,Buffalo,NY,10004,(626) 848-6491,"[{""action_type"": ""Fine"", ""action_date"": ""2024-08-20"", ""description"": ""Disciplinary action related to professional conduct""}]",True,University of Pennsylvania Perelman School of Medicine,2025-09-02,,,,,,,,,,,,,,,,4369709312.0,1.0,,,,Lopez,Jennifer O,,,,MD PhD,,,,,,,,,,7 Lexington Ave,,Buffalo,NY,10004,US,(626) 848-6491,,7 Lexington Ave,,Buffalo,NY,10004,US,(626) 848-6491,,03/25/2018,07/06/2025,,,,F,,,,,,207RP1001X,060NY786508,NY,Y,207RO0300X,,,N,"{""identifier"": ""060NY786508"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BA7838926"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,N,,,03/25/2018
060NY907189,David Clark DO PhD,David,Clark,Physician,60.0,Otolaryngology,Expired,2019-06-25,2023-02-10,2021-08-21,7634 Second Ave,New York,NY,10004,(424) 425-8999,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,6705466880.0,1.0,,,,Clark,David,,,,DO PhD,,,,,,,,,,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,(212) 251-7613,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,(212) 251-7613,04/05/2019,07/08/2025,,,,M,,,,,,207Y00000X,060NY907189,NY,Y,,,,,"{""identifier"": ""060NY907189"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BB2438713"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,N,N,,,04/05/2019
060NY907189,David Clark DO PhD,David,Clark,Physician,60.0,Otolaryngology,Expired,2019-06-25,2023-02-10,2021-08-21,7634 Second Ave,New York,NY,10004,(424) 425-8999,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,3065031218.0,1.0,,,,Clark,David T,,,,DO PhD,,,,,,,,,,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,(323) 545-9051,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,(323) 545-9051,04/06/2019,08/15/2025,,,,,,,,,,207Y00000X,060NY907189,NY,Y,,,,,"{""identifier"": ""BM8540358"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,,,,N,N,,,04/06/2019
060NY907189,David Clark DO PhD,David,Clark,Physician,60.0,Otolaryngology,Expired,2019-06-25,2023-02-10,2021-08-21,7634 Second Ave,New York,NY,10004,(424) 425-8999,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,8041847245.0,1.0,,28-1272755,,Clark,Dave,,Prof.,,DO PhD,,,,,,,,,,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,,7634 Second Ave,,New York,NY,10004,US,(424) 425-8999,,04/08/2023,03/31/2025,,,,F,,,,,,207Y00000X,060NY907189,NY,Y,,,,,"{""identifier"": ""060NY907189"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,N,N,,,04/08/2023
060NY497399,Susan Moore DO PhD,Susan,Moore,Physician,60.0,Family Medicine,Expired,2021-04-17,2024-11-19,2023-08-04,9708 Lexington Avenue,Rochester,NY,10004,(424) 918-5526,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,,,,,,,,,,,,,,,,7527354542.0,1.0,,,,Moore,Susan,,,,DO PhD,,,,,,,,,,9708 Lexington Avenue,,Rochester,NY,10004,US,(424) 918-5526,,9708 Lexington Avenue,,Rochester,NY,10004,US,(424) 918-5526,,04/11/2017,10/16/2024,,,,,,,,,,207Q00000X,060NY497399,NY,Y,,,,,"{""identifier"": ""060NY497399"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BM4381305"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,N,,,04/11/2017
060NY819796,"Mary Lopez, MD",Mary,Lopez,Physician,60.0,Dermatology,Expired,2019-11-05,2023-04-20,2021-05-04,7828 Fifth Ave,Brooklyn,NY,11202,424  833.4697,[],False,UCSF School of Medicine,2025-09-02,,,,,,,,,,,,,,,,2941318698.0,1.0,,,,Lopez,Mary,R,,,MD,,,,,,,,,,7828 Fifth Ave,,Brooklyn,NY,11202,US,424  833.4697,(917) 531-4918,7828 Fifth Ave,,Brooklyn,NY,11202,US,424  833.4697,(917) 531-4918,02/15/2022,06/18/2025,,,,F,,,,,,207N00000X,060NY819796,NY,Y,,,,,"{""identifier"": ""BF1201969"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,,,,N,N,,,02/15/2022
060NY617781,"William Martin, MD PhD",William,Martin,Physician,60.0,Pediatrics,Expired,2020-09-03,2025-06-15,2023-07-11,7680 Central Park West,Buffalo,NY,11202,(626) 789-1339,[],False,Harvard Medical School,2025-09-02,,,,,,,,,,,,,,,,9065940132.0,1.0,,43-6448596,,Martin,William,,,,MD PhD,,,,,,,,,,7680 Central Park West,,Buffalo,NY,11202,US,(626) 789-1339,(213) 344-1551,7680 Central Park West,,Buffalo,NY,11202,US,(626) 789-1339,(213) 344-1551,01/17/2024,10/03/2024,,,,F,,,,,,208000000X,060NY617781,NY,Y,,,,,"{""identifier"": ""060NY617781"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,"{""identifier"": ""BF1018934"", ""type_code"": ""01"", ""state"": ""NY"", ""issuer"": ""DEA""}",1.0,NY,DEA,,N,,,01/17/2024
060NY436653,"Rajesh Lewis, MD PhD",Rajesh,Lewis,Physician,60.0,Orthopedic Surgery,Expired,2019-05-21,2023-08-03,2021-09-22,9591 Second Ave,Syracuse,NY,10002,(929) 458-6296,[],False,Harvard Medical School,2025-09-02,,,,,,,,,,,,,,,,5674680718.0,1.0,,81-3340240,,Lewis,Rajesh,,,,MD PhD,,,,,,,,,,9591 Second Ave,,Syracuse,NY,10002,US,(929) 458-6296,(310) 217-1137,9591 Second Ave,,Syracuse,NY,10002,US,(929) 458-6296,(310) 217-1137,12/22/2020,03/27/2025,,,,,,,,,,207X00000X,060NY436653,NY,Y,,,,,"{""identifier"": ""060NY436653"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,Y,N,,,12/22/2020
060NY950823,"LI GONZALEZ, DO",Li,Gonzalez,Physician,60.0,Radiology,Expired,2018-08-06,2025-02-19,2023-09-17,3827 Second Ave,New York,NY,11201,(718) 738-8486,[],True,Johns Hopkins School of Medicine,2025-09-02,,,,,,,,,,,,,,,,2702895178.0,1.0,,,,Gonzalez,Li,,,,DO,,,,,,,,,,3827 Second Ave,,New York,NY,11201,US,(718) 738-8486,(818) 639-8130,3827 Second Ave,,New York,NY,11201,US,(718) 738-8486,(818) 639-8130,03/31/2018,04/20/2025,,,,F,,,,,,207R00000X,060NY950823,NY,Y,207Q00000X,,,N,,,,,,,,,N,N,,,03/31/2018
060NY749813,"Linda Martinez, DO",Linda,Martinez,Physician,60.0,Nephrology,Expired,2018-09-09,2024-05-08,2023-03-25,9273 Columbus Ave,Queens,NY,10003,3478939955,[],True,NYU Grossman School of Medicine,2025-09-02,,,,,,,,,,,,,,,,9237474079.0,1.0,,62-9971751,,Martinez,Linda,J,,,DO,,,,,,,,,,9273 Columbus Ave,Suite 724,Queens,NY,10003,US,,,9273 Columbus Ave,Suite 724,Queens,NY,10003,US,3478939955,(646) 465-4848,07/11/2017,10/17/2024,,,,,,,,,,207RN0300X,060NY749813,NY,Y,207RE0101X,,,N,,,,,,,,,,N,,,07/11/2017
060NY805000,"Priya Sanchez, MD PhD",Priya,Sanchez,Physician,60.0,Otolaryngology,Expired,2021-02-25,2024-06-20,2023-08-09,6465 Broadway,Buffalo,NY,142**,(424) 426-2035,[],False,UCLA David Geffen School of Medicine,2025-09-02,,,,,,,,,,,,,,,,6513709858.0,1.0,,,,Sanchez,Priya,J,,,MD PhD,,,,,,,,,,6465 Broadway,Suite 477,Buffalo,NY,14201,US,,,6465 Broadway,Suite 477,Buffalo,NY,142**,US,(424) 426-2035,(323) 510-9201,07/14/2021,08/26/2025,,,,M,,,,,,207Y00000X,060NY805000,NY,Y,,,,,"{""identifier"": ""060NY805000"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,N,N,,,07/14/2021
060NY879238,"Michael Martin, DO PhD",Michael,Martin,Physician,60.0,Otolaryngology,Expired,2022-03-04,2025-05-08,2024-12-07,3847 York Ave,Queens,NY,11202,917- 654-8285,[],False,NYU Grossman School of Medicine,2025-09-02,,,,,,,,,,,,,,,,2617964058.0,1.0,,,,Martin,Michael,J,,,DO PhD,,,,,,,,,,3847 York Ave,,Queens,NY,11202,US,917- 654-8285,(929) 852-8091,3847 York Ave,,Queens,NY,11202,US,917- 654-8285,(929) 852-8091,09/26/2015,02/21/2025,,,,M,,,,,,207Y00000X,060NY879238,NY,Y,207RG0100X,,,N,"{""identifier"": ""060NY879238"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,Y,N,,,09/26/2015
060NY915809,"Mary Johnson, DO",Mary,Johnson,Physician,60.0,Endocrinology,Expired,2022-10-29,2025-01-11,2023-05-21,2077 Central Park West,Yonkers,NY,14201,(310) 858-1510,[],False,UCLA David Geffen School of Medicine,2025-09-02,,,,,,,,,,,,,,,,9178390842.0,1.0,,63-1389216,,Johnson,Mary,,,,DO,,,,,,,,,,2077 Central Park West,Suite 165,Yonkers,NY,14201,US,(310) 858-1510,,2077 Central Park West,Suite 165,Yonkers,NY,14201,US,(310) 858-1510,,01/04/2019,04/08/2025,,,,M,,,,,,207RE0101X,060NY915809,NY,Y,,,,,"{""identifier"": ""060NY915809"", ""type_code"": ""05"", ""state"": ""NY"", ""issuer"": ""NY Medical Board""}",5.0,NY,NY Medical Board,,,,,N,N,,,01/04/2019
